Model,HR@10,HR@20,NDCG@10,NDCG@20
Pop,0.3410074773711137,0.4504668884834174,0.1792134110111605,0.2071473571965601
KG profile,0.2970555615183714,0.3846731780616078,0.1770746793174511,0.198694040114123
MF-BPR,0.5163679295910701,0.6257200100175306,0.3253700535477285,0.3541445101994371
LightGCN,0.5140960967407249,0.6134843118314193,0.3259796929853685,0.3524569148050173
ItemKNN,0.5577617974312189,0.6716217666630889,0.3513687059029886,0.3821457143660204
EASE,0.5790669385710708,0.6888304532932632,0.3676471480631054,0.3975962549427014
RP3,0.581302994526135,0.694465314300025,0.3685552398817227,0.3992202872468317
RKF-M,0.5835569389288398,0.6952345175485671,0.3722563145653637,0.4026585286898035
RAKF-M-G,0.5870809631140209,0.6995456334299309,0.3746724270885567,0.405288049349865
