"variant","run_name","HR@10","HR@20","NDCG@10","NDCG@20","Recall@10","Recall@20","evaluated_users","candidate_courses","mask_train_positives","Delta_NDCG@20","Delta_HR@20"
"RAKF-M-G full","adaptive_kg_gate_validated","0.5870809631140209","0.6995456334299309","0.3746724270885567","0.40528804934986506","0.5439583192571873","0.659031304987306","55902","698","1","0","0"
"non-gated KG mix","adaptive_fusion_validated","0.5869736324281779","0.6986154341526243","0.37445777153596405","0.40488870301628765","0.5438816318951613","0.6582600764563368","55902","698","1","-0.00039934633357741","-0.00093019927730664"
"w/o RP3","ablation_wo_rp3_validated","0.5783514006654502","0.6885621265786555","0.369591060984933","0.3995254302888769","0.5351638946731566","0.6477838015615259","55902","698","1","-0.00576261906148816","-0.00998350685127543"
"w/o EASE","ablation_wo_ease_validated","0.583181281528389","0.6959142785589066","0.3702371889725859","0.4008891346107237","0.5401778205562717","0.6553497075845535","55902","698","1","-0.00439891473914136","-0.00263135487102433"
"w/o adaptive grouping","fusion_validated","0.5835569389288398","0.6952345175485671","0.37225631456536373","0.40265852868980356","0.5406643318589534","0.6548281522116512","55902","698","1","-0.0026295206600615","-0.00361111588136383"
"KG profile only","kg_profile","0.2970555615183714","0.38467317806160783","0.17707467931745113","0.19869404011412306","0.26856227169474994","0.3502007562377131","55902","698","1","-0.206594009235742","-0.314872455046623"
