run_name,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
ablation_wo_ease,0.45220206790454726,0.5358842259668706,0.29702144151942955,0.3191893862657367,0.4319502581899273,0.5167681836070269,55902,698,1
ablation_wo_ease_validated,0.583181281528389,0.6959142785589066,0.3702371889725859,0.4008891346107237,0.5401778205562717,0.6553497075845535,55902,698,1
ablation_wo_kg,0.5872598475904262,0.6997424063539766,0.3746686368733663,0.4052892200207704,0.5441372037335926,0.6593264643733743,55902,698,1
ablation_wo_kg_validated,0.5870809631140209,0.6995456334299309,0.37467242708859133,0.4052880493499287,0.543958319257188,0.6590313049873058,55902,698,1
ablation_wo_rp3,0.3763550499087689,0.4533111516582591,0.23023737848767978,0.2515885464066522,0.33784230573811974,0.4170102106196938,55902,698,1
ablation_wo_rp3_validated,0.5783514006654502,0.6885621265786555,0.369591060984933,0.3995254302888769,0.5351638946731566,0.6477838015615259,55902,698,1
adaptive_fusion_validated,0.5869736324281779,0.6986154341526243,0.37445777153596405,0.40488870301628765,0.5438816318951613,0.6582600764563368,55902,698,1
adaptive_kg_gate_validated,0.5870809631140209,0.6995456334299309,0.3746724270885567,0.40528804934986506,0.5439583192571873,0.659031304987306,55902,698,1
ease_reg_500,0.5790669385710708,0.6888304532932632,0.3676471480631054,0.3975962549427014,0.5355401232371054,0.6481061268060365,55902,698,1
fusion_best_rp3,0.5831097277378269,0.6953239597867698,0.3718039937764757,0.4022323030432951,0.540178915409439,0.6548280375421149,55902,698,1
fusion_ease_kg_pop,0.5777968587885943,0.6878108117777539,0.3676008411729731,0.3974997371834182,0.5343859743556844,0.64685963782342,55902,698,1
fusion_extended,0.5792994883903975,0.69115595148653,0.36837127682091025,0.39880398263596173,0.5361513118648231,0.6506794307813477,55902,698,1
fusion_search_best,0.580641121963436,0.6928732424600194,0.36889708079116756,0.3993679203693349,0.5375269531138932,0.6522578460256426,55902,698,1
fusion_search_best_reg100,0.5811419984973704,0.6927301348788952,0.37046542668819776,0.40073493373317837,0.538049530616643,0.6520625265751979,55902,698,1
fusion_validated,0.5835569389288398,0.6952345175485671,0.37225631456536373,0.40265852868980356,0.5406643318589534,0.6548281522116512,55902,698,1
itemknn_cosine_k100_s100,0.5577617974312189,0.6716217666630889,0.35136870590298863,0.38214571436602046,0.5158962912046298,0.6318320331506224,55902,698,1
kg_profile,0.2970555615183714,0.38467317806160783,0.17707467931745113,0.19869404011412306,0.26856227169474994,0.3502007562377131,55902,698,1
popularity,0.34100747737111375,0.4504668884834174,0.1792134110111605,0.20714735719656013,0.3059189948745892,0.41183666333771446,55902,698,1
rp3beta_a07_b04_k100,0.5724482129440807,0.6877034810919108,0.3615256155981579,0.39272810223597526,0.5302441128617498,0.6474473328794814,55902,698,1
rp3beta_a09_b02_k300,0.581302994526135,0.694465314300025,0.3685552398817227,0.39922028724683173,0.5385870191653731,0.6538532718751203,55902,698,1
