segment,users,w_ease,w_itemknn,w_rp3,w_pop,w_kg,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
cold,1064,0.44400333366490735,-0.020629323453637827,0.4825719980216926,0.018226315897694773,0.1093675568972079,0.5009398496240601,0.6165413533834586,0.2165304348815282,0.2508271402679701,0.31798245614035103,0.4281015037593985,1064,698,1
one,19893,0.0,0.0,1.0,0.0,0.0,0.5909616447996783,0.6901422610968683,0.4039568877538726,0.42962376497883403,0.577824695454012,0.6776252953300154,19893,698,1
two,10716,0.6386573642520273,0.3533265904989376,0.301952668929489,0.07842960957832873,0.0412123988534579,0.5791340052258306,0.6953154162000746,0.38229356813629595,0.4129254547172967,0.5577563145452283,0.6758118701007839,10716,698,1
three_four,11503,0.6449435565332204,0.28051894015173245,0.37616041875291817,-0.14324665641906412,-0.010077906641971612,0.5924541423976354,0.7096409632269842,0.3751084740290578,0.4070011579080192,0.5543278565012023,0.6754745138949262,11503,698,1
five_plus,12726,0.4401140971318213,0.07800555842646051,-0.03290444416253288,-0.1127550510938993,-0.06084664343716906,0.5895803866100896,0.7115354392582115,0.3343740436189351,0.3704368595721059,0.4885840787524229,0.6168923040019497,12726,698,1
assembled,55902,,,,,,0.5869736324281779,0.6986154341526243,0.3744602605059049,0.40489085544435227,0.5438816318951616,0.6582600764563369,55902,698,1
