segment,users,w_ease,w_itemknn,w_pop,w_kg,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
cold,1064,0.7622636292231342,0.03870928426736736,0.22996189681857404,0.18408051779634899,0.5009398496240601,0.6165413533834586,0.21653043488152834,0.2508271402679698,0.31798245614035087,0.4281015037593985,1064,698,1
one,19893,0.40801153875252355,-0.03660892554825343,0.12906281611964476,0.09581335642577582,0.5715075654752928,0.6659629015231489,0.3928787943245052,0.41740854271348893,0.5575244223261114,0.6527673050821897,19893,698,1
two,10716,0.8145657498689982,0.28946590492470714,0.24378998804240049,0.18859625643048966,0.5778275475923852,0.6899962672639044,0.38107995326119165,0.41048518036234977,0.5565198457135747,0.6701816598233172,10716,698,1
three_four,11503,0.8863481532259108,0.33030296842065915,-0.10809689806898842,0.1854515070437599,0.5847170303399113,0.7024254542293314,0.3712877380755979,0.40298207943446185,0.5470978585296589,0.6675345562027296,11503,698,1
five_plus,12726,1.012771782303683,-0.004480738848108706,-0.10317261911100976,0.053326488183727594,0.5902090209020903,0.7161716171617162,0.3347774338156424,0.37165019126722326,0.48959862014920674,0.6216480754538551,12726,698,1
assembled,55902,,,,,0.5783514006654502,0.6885621265786555,0.369591060984933,0.3995254302888769,0.5351638946731566,0.6477838015615259,55902,698,1
