segment,users,w_ease,w_itemknn,w_rp3,w_pop,w_kg,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
cold,1064,0.4540026187410532,-0.016651190397055454,0.5767760863142165,-0.19239901166566287,0.0,0.5009398496240601,0.6165413533834586,0.21653043488152834,0.2508271402679698,0.31798245614035087,0.4281015037593985,1064,698,1
one,19893,0.0,0.0,1.0,0.0,0.0,0.5909616447996783,0.6901422610968683,0.4039568877538661,0.4296237649788233,0.5778246954540124,0.6776252953300156,19893,698,1
two,10716,0.4981192568511244,0.19701008993168934,0.4204694788101624,0.2015925878142109,0.0,0.5798805524449422,0.6989548338932438,0.3827262054433646,0.4140887915044815,0.5585106382978723,0.6793268632574345,10716,698,1
three_four,11503,0.653612951264165,0.1530020358091867,0.2144394754243483,-0.17163476052916782,0.0,0.5913240024341476,0.7068590802399374,0.37489565589246454,0.40626491776949614,0.5531470051290968,0.6720261381088991,11503,698,1
five_plus,12726,0.4401140971318213,0.07800555842646051,-0.03290444416253288,-0.1127550510938993,0.0,0.5904447587615904,0.7150715071507151,0.3351340972059338,0.3718675201890873,0.48935313241515926,0.62043726843211,12726,698,1
assembled,55902,,,,,,0.5870809631140209,0.6995456334299309,0.37467242708859133,0.4052880493499287,0.543958319257188,0.6590313049873058,55902,698,1
