segment,users,w_itemknn,w_rp3,w_pop,w_kg,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
cold,1064,-0.01863227471269585,0.5938109598468735,-0.14508103278837758,0.09172402000616936,0.5009398496240601,0.6165413533834586,0.21653043488152834,0.2508271402679698,0.31798245614035087,0.4281015037593985,1064,698,1
one,19893,-0.03660892554825343,0.3800107191455864,0.12906281611964476,0.09581335642577582,0.5891519630020611,0.6872266626451515,0.4030477253658389,0.4285525251005903,0.57564218569346,0.6746845624088876,19893,698,1
two,10716,0.24105001446359797,0.5461082223856104,0.24755071137458168,0.0431641417651743,0.5807204180664427,0.6955020530048526,0.38202684741509957,0.4121091460604794,0.5601359338061466,0.6761540375762101,10716,698,1
three_four,11503,0.2050129995012001,0.4203858340047054,-0.1272218559273813,0.10113335317927147,0.5854994349300182,0.7032947926627836,0.3689551694183712,0.4007211863820988,0.5480932510359616,0.6687009186009447,11503,698,1
five_plus,12726,0.1530020358091867,0.2144394754243483,-0.17163476052916782,0.02013026117051131,0.5807009272355808,0.7098066949552098,0.3230309243917323,0.36089670971241045,0.4793575246008199,0.6145392126401362,12726,698,1
assembled,55902,,,,,0.583181281528389,0.6959142785589066,0.3702371889725859,0.4008891346107237,0.5401778205562717,0.6553497075845535,55902,698,1
