segment,users,w_ease,w_itemknn,w_rp3,w_pop,w_kg,HR@10,NDCG@10,Recall@10,HR@20,NDCG@20,Recall@20,evaluated_users,candidate_courses,mask_train_positives
cold,1064,1.0,0.23710607881543747,0.32923220048201696,0.15535817052667067,0.04837418608001981,0.5009398496240601,0.21653043488152837,0.31798245614035087,0.6165413533834586,0.2508271402679698,0.4281015037593985,1064,698,1
one,19893,0.0,0.0,1.0,0.0,0.0,0.5909616447996783,0.40395688775386623,0.5778246954540124,0.6901422610968683,0.42962376497882343,0.6776252953300156,19893,698,1
two,10716,0.9451794193806388,0.12254349454927566,0.4821580482932759,0.23912132174679268,0.008098504985124044,0.58006718924972,0.38335999863841413,0.558635062834391,0.6987681970884658,0.41455695571816287,0.6789535896478786,10716,698,1
three_four,11503,1.0943245921119193,-0.030328918820066247,0.54400109580041,0.13276365836043635,0.1932164486892417,0.5924541423976354,0.3759732034476656,0.5545480889043437,0.7109449708771625,0.4079220109833111,0.6758802051638703,11503,698,1
five_plus,12726,0.7457978790826798,0.09188943560307539,-0.027476546474496738,0.11285204386810566,0.10443535936305948,0.5912305516265912,0.33506337425680477,0.49072330461311797,0.7158573000157159,0.3717512735099318,0.6219810376267514,12726,698,1
assembled,55902,,,,,,0.5875281743050338,0.37499954842870464,0.5445823901561042,0.7005294980501592,0.4056923110170138,0.6601042422722747,55902,698,1
